"FUA","month","days","monthlyE","dailyE","meanDailyE","sdDailyE","cvDailyE"
"EL001L1","Mar","31","523717.078016871","17593.2637782446","0.143160366649128","19.5662449967336","13667.36161321"
"EL001L1","Apr","30","497108.337319354","17260.9923710464","0.140456599054832","18.6598476937267","13285.1342117733"
"EL001L1","May","31","518526.841653408","17413.7673161596","0.141699763338212","18.8363539904779","13293.1442838891"
"EL001L1","Jun","30","528162.292331748","18327.5013867338","0.149135024140984","20.0543734797381","13447.1252445568"
"EL001L1","Jul","31","557164.480316453","18702.7877016063","0.152188813768238","20.879918862618","13719.7461138078"
"EL001L1","Aug","31","549320.774751761","18440.9343538854","0.150058053851231","20.4428714838882","13623.3084191239"
"EL001L1","Sep","30","521400.317723443","18096.3483716343","0.147254079774389","19.8244722592799","13462.7660501178"
"EL001L1","Oct","31","528213.04038562","17739.5528997142","0.144350754318542","19.5221698625296","13524.1204347638"
"EL001L1","Nov","30","511158.570275316","17748.2072011087","0.144421176326439","19.6331713880884","13594.3854547418"
"EL001L1","Dec","31","525836.603673576","17667.5434043876","0.143764796767793","19.987026847362","13902.5876269591"
"EL002L1","Jan","31","130461.386953763","4460.87195611617","0.0587119066599477","12.8477635660915","21882.7224271632"
"EL002L1","Feb","29","129342.943575405","4728.72937786067","0.0622373205472653","13.6899935333095","21996.4378493975"
"EL002L1","Mar","31","127514.539239575","4362.80182479825","0.0574211535397709","12.7425513622331","22191.3886724817"
"EL002L1","Apr","30","124284.873180495","4397.16345680677","0.057873405241011","13.0590020138304","22564.7721253774"
"EL002L1","May","31","125523.736455959","4296.54858830034","0.0565491594822299","12.6766316716415","22417.0116544792"
"EL002L1","Jun","30","126821.949346001","4484.41089311151","0.0590217151201189","13.1431125917901","22268.2661204299"
"EL002L1","Jul","31","129770.076298581","4437.86536072364","0.058409104630538","12.8222727005109","21952.5239799807"
"EL002L1","Aug","31","128869.158329928","4407.88306092236","0.0580144916479863","12.789794110863","22045.860866053"
"EL002L1","Sep","30","126503.390752294","4473.45599809361","0.0588775319245267","13.132162322047","22304.1997393517"
"EL002L1","Oct","31","127178.798956216","4351.62848332847","0.0572740952543264","12.7311400882448","22228.4438221363"
"EL002L1","Nov","30","126446.845841027","4471.51154044976","0.0588519398840438","13.1302303017103","22310.6159755836"
"EL002L1","Dec","31","128546.761920926","4397.15381537759","0.0578732783450373","12.7783764551013","22079.9250025501"
"EL003L1","Jan","31","50254.1718925149","1733.76794491836","0.0908683409286352","12.5516778401984","13813.0373152252"
"EL003L1","Feb","29","50254.1718907318","1853.33813532495","0.0971351223964858","13.4173107032743","13813.0373156967"
