"FUA","month","days","dailyS","meanDailyS","sdDailyS","cvDailyS"
"ES515L1","Jan","31","66.6927228883451","0.000446529297984341","0.000782660633483441","175.276434719159"
"ES515L1","Feb","29","65.3923136585899","0.000437822638617215","0.000768942266740669","175.628713300262"
"ES515L1","Mar","31","241.13213305536","0.00161445743150926","0.0028260917946316","175.049012719379"
"ES515L1","Apr","30","370.266965887808","0.00247905680236618","0.0043722745528082","176.368470001777"
"ES515L1","May","31","820.767033191286","0.00549530010572775","0.00987150457625653","179.635404551745"
"ES515L1","Jun","30","806.658087330133","0.00540083616096984","0.00956012999040578","177.012034904778"
"ES515L1","Jul","31","571.194950029467","0.00382433448512612","0.0067003418753218","175.202820291511"
"ES515L1","Aug","31","376.217925681877","0.00251890039825036","0.0044361962854518","176.116383503421"
"ES515L1","Sep","30","324.378000163652","0.00217181537087837","0.0037933886878761","174.664418474113"
"ES515L1","Oct","31","183.192875488414","0.00122653540813625","0.00214790127724121","175.119386117437"
"ES515L1","Nov","30","102.395420149789","0.000685570375539237","0.00120587926883806","175.894308135699"
"ES515L1","Dec","31","65.9972821391335","0.000441873097786081","0.000776561439701711","175.74309085403"
